,size,num_node,total_time
0,"(20, 20)",10,112.9
1,"(20, 20)",10,106.95
2,"(20, 20)",10,88.92
3,"(20, 20)",10,123.65
4,"(20, 20)",10,119.52
5,"(20, 20)",10,117.05
6,"(20, 20)",10,104.9
7,"(20, 20)",10,96.2
8,"(20, 20)",10,103.05
9,"(20, 20)",10,75.38
10,"(20, 20)",10,99.48
11,"(20, 20)",10,103.22
12,"(20, 20)",10,98.55
13,"(20, 20)",10,103.32
14,"(20, 20)",10,106.18
15,"(20, 20)",10,115.18
16,"(20, 20)",10,101.67
17,"(20, 20)",10,109.58
18,"(20, 20)",10,97.67
19,"(20, 20)",10,104.32
20,"(20, 20)",10,99.45
21,"(20, 20)",10,119.2
22,"(20, 20)",10,115.37
23,"(20, 20)",10,108.48
24,"(20, 20)",10,112.37
25,"(20, 20)",10,95.23
26,"(20, 20)",10,110.58
27,"(20, 20)",10,114.37
28,"(20, 20)",10,103.0
29,"(20, 20)",10,109.47
30,"(20, 20)",20,183.12
31,"(20, 20)",20,169.13
32,"(20, 20)",20,180.05
33,"(20, 20)",20,174.92
34,"(20, 20)",20,164.93
35,"(20, 20)",20,179.48
36,"(20, 20)",20,186.88
37,"(20, 20)",20,164.98
38,"(20, 20)",20,167.37
39,"(20, 20)",20,176.73
40,"(20, 20)",20,185.13
41,"(20, 20)",20,182.93
42,"(20, 20)",20,185.27
43,"(20, 20)",20,168.87
44,"(20, 20)",20,178.0
45,"(20, 20)",20,158.43
46,"(20, 20)",20,176.9
47,"(20, 20)",20,160.27
48,"(20, 20)",20,157.6
49,"(20, 20)",20,182.82
50,"(20, 20)",20,169.52
51,"(20, 20)",20,166.18
52,"(20, 20)",20,181.17
53,"(20, 20)",20,176.78
54,"(20, 20)",20,168.63
55,"(20, 20)",20,173.47
56,"(20, 20)",20,166.13
57,"(20, 20)",20,167.87
58,"(20, 20)",20,169.43
59,"(20, 20)",20,173.48
60,"(20, 20)",30,252.08
61,"(20, 20)",30,243.2
62,"(20, 20)",30,233.65
63,"(20, 20)",30,250.23
64,"(20, 20)",30,236.43
65,"(20, 20)",30,234.97
66,"(20, 20)",30,231.58
67,"(20, 20)",30,231.1
68,"(20, 20)",30,234.28
69,"(20, 20)",30,231.82
70,"(20, 20)",30,231.13
71,"(20, 20)",30,220.92
72,"(20, 20)",30,220.87
73,"(20, 20)",30,238.23
74,"(20, 20)",30,225.2
75,"(20, 20)",30,233.97
76,"(20, 20)",30,237.28
77,"(20, 20)",30,234.05
78,"(20, 20)",30,235.82
79,"(20, 20)",30,228.72
80,"(20, 20)",30,231.7
81,"(20, 20)",30,236.67
82,"(20, 20)",30,232.35
83,"(20, 20)",30,230.35
84,"(20, 20)",30,219.98
85,"(20, 20)",30,230.2
86,"(20, 20)",30,231.45
87,"(20, 20)",30,232.88
88,"(20, 20)",30,224.98
89,"(20, 20)",30,238.62
90,"(20, 20)",40,293.07
91,"(20, 20)",40,284.35
92,"(20, 20)",40,288.58
93,"(20, 20)",40,292.6
94,"(20, 20)",40,283.25
95,"(20, 20)",40,282.82
96,"(20, 20)",40,287.85
97,"(20, 20)",40,291.68
98,"(20, 20)",40,297.58
99,"(20, 20)",40,279.27
100,"(20, 20)",40,290.87
101,"(20, 20)",40,279.78
102,"(20, 20)",40,285.93
103,"(20, 20)",40,275.78
104,"(20, 20)",40,281.38
105,"(20, 20)",40,288.25
106,"(20, 20)",40,282.05
107,"(20, 20)",40,287.02
108,"(20, 20)",40,288.22
109,"(20, 20)",40,285.43
110,"(20, 20)",40,287.88
111,"(20, 20)",40,288.8
112,"(20, 20)",40,278.85
113,"(20, 20)",40,291.77
114,"(20, 20)",40,287.9
115,"(20, 20)",40,299.45
116,"(20, 20)",40,285.22
117,"(20, 20)",40,297.05
118,"(20, 20)",40,289.8
119,"(20, 20)",40,288.18
120,"(20, 20)",50,343.43
121,"(20, 20)",50,335.47
122,"(20, 20)",50,332.22
123,"(20, 20)",50,347.75
124,"(20, 20)",50,350.03
125,"(20, 20)",50,342.03
126,"(20, 20)",50,340.62
127,"(20, 20)",50,336.87
128,"(20, 20)",50,347.63
129,"(20, 20)",50,343.1
130,"(20, 20)",50,333.28
131,"(20, 20)",50,345.98
132,"(20, 20)",50,338.72
133,"(20, 20)",50,344.2
134,"(20, 20)",50,348.03
135,"(20, 20)",50,352.57
136,"(20, 20)",50,339.87
137,"(20, 20)",50,342.32
138,"(20, 20)",50,354.23
139,"(20, 20)",50,338.25
140,"(20, 20)",50,342.77
141,"(20, 20)",50,335.38
142,"(20, 20)",50,352.0
143,"(20, 20)",50,358.02
144,"(20, 20)",50,343.67
145,"(20, 20)",50,350.28
146,"(20, 20)",50,334.73
147,"(20, 20)",50,344.1
148,"(20, 20)",50,344.12
149,"(20, 20)",50,346.58
150,"(20, 20)",60,394.23
151,"(20, 20)",60,408.15
152,"(20, 20)",60,384.95
153,"(20, 20)",60,390.97
154,"(20, 20)",60,401.37
155,"(20, 20)",60,402.98
156,"(20, 20)",60,389.32
157,"(20, 20)",60,391.32
158,"(20, 20)",60,402.08
159,"(20, 20)",60,393.93
