,size,num_node,total_time
0,"(5, 5)",10,37.27
1,"(5, 5)",10,36.0
2,"(5, 5)",10,35.52
3,"(5, 5)",10,35.22
4,"(5, 5)",10,33.97
5,"(5, 5)",10,34.4
6,"(5, 5)",10,33.43
7,"(5, 5)",10,37.23
8,"(5, 5)",10,37.15
9,"(5, 5)",10,37.08
10,"(5, 5)",20,60.37
11,"(5, 5)",20,64.5
12,"(5, 5)",20,63.67
13,"(5, 5)",20,59.1
14,"(5, 5)",20,60.58
15,"(5, 5)",20,61.02
16,"(5, 5)",20,60.17
17,"(5, 5)",20,64.38
18,"(5, 5)",20,61.12
19,"(5, 5)",20,60.25
20,"(5, 5)",30,86.25
21,"(5, 5)",30,88.5
22,"(5, 5)",30,84.98
23,"(5, 5)",30,82.3
24,"(5, 5)",30,88.98
25,"(5, 5)",30,87.45
26,"(5, 5)",30,87.23
27,"(5, 5)",30,86.1
28,"(5, 5)",30,88.45
29,"(5, 5)",30,83.02
30,"(5, 5)",40,111.65
31,"(5, 5)",40,114.52
32,"(5, 5)",40,110.13
33,"(5, 5)",40,108.42
34,"(5, 5)",40,112.28
35,"(5, 5)",40,112.62
36,"(5, 5)",40,111.43
37,"(5, 5)",40,108.77
38,"(5, 5)",40,113.12
39,"(5, 5)",40,109.7
40,"(5, 5)",50,132.1
41,"(5, 5)",50,137.38
42,"(5, 5)",50,135.55
43,"(5, 5)",50,133.92
44,"(5, 5)",50,137.33
45,"(5, 5)",50,134.02
46,"(5, 5)",50,136.53
47,"(5, 5)",50,138.7
48,"(5, 5)",50,136.55
49,"(5, 5)",50,130.53
50,"(5, 5)",60,155.93
51,"(5, 5)",60,157.82
52,"(5, 5)",60,158.65
53,"(5, 5)",60,158.17
54,"(5, 5)",60,155.67
55,"(5, 5)",60,158.3
56,"(5, 5)",60,156.82
57,"(5, 5)",60,153.95
58,"(5, 5)",60,160.32
59,"(5, 5)",60,159.68
60,"(5, 5)",70,178.98
61,"(5, 5)",70,180.32
62,"(5, 5)",70,183.27
63,"(5, 5)",70,181.08
64,"(5, 5)",70,181.2
65,"(5, 5)",70,181.88
66,"(5, 5)",70,179.57
67,"(5, 5)",70,180.03
68,"(5, 5)",70,177.5
69,"(5, 5)",70,176.08
70,"(5, 5)",80,201.63
71,"(5, 5)",80,199.82
72,"(5, 5)",80,202.4
73,"(5, 5)",80,208.22
74,"(5, 5)",80,204.78
75,"(5, 5)",80,199.38
76,"(5, 5)",80,204.8
77,"(5, 5)",80,202.25
78,"(5, 5)",80,201.2
79,"(5, 5)",80,202.57
80,"(5, 5)",90,222.88
81,"(5, 5)",90,222.5
82,"(5, 5)",90,223.77
83,"(5, 5)",90,225.02
84,"(5, 5)",90,223.8
85,"(5, 5)",90,221.27
86,"(5, 5)",90,224.75
87,"(5, 5)",90,228.28
88,"(5, 5)",90,227.07
89,"(5, 5)",90,224.98
90,"(5, 5)",100,246.53
91,"(5, 5)",100,247.07
92,"(5, 5)",100,253.07
93,"(5, 5)",100,250.03
94,"(5, 5)",100,248.28
95,"(5, 5)",100,243.45
96,"(5, 5)",100,243.23
97,"(5, 5)",100,248.48
98,"(5, 5)",100,246.2
99,"(5, 5)",100,244.75
100,"(5, 5)",110,269.27
101,"(5, 5)",110,271.22
102,"(5, 5)",110,267.32
103,"(5, 5)",110,267.87
104,"(5, 5)",110,272.52
105,"(5, 5)",110,271.88
106,"(5, 5)",110,267.88
107,"(5, 5)",110,273.03
108,"(5, 5)",110,267.98
109,"(5, 5)",110,267.73
110,"(5, 5)",120,291.55
111,"(5, 5)",120,293.02
112,"(5, 5)",120,291.13
113,"(5, 5)",120,293.98
114,"(5, 5)",120,290.45
115,"(5, 5)",120,291.6
116,"(5, 5)",120,293.32
117,"(5, 5)",120,289.75
118,"(5, 5)",120,293.65
119,"(5, 5)",120,293.02
120,"(5, 5)",130,311.92
121,"(5, 5)",130,312.27
122,"(5, 5)",130,312.97
123,"(5, 5)",130,315.15
124,"(5, 5)",130,312.35
125,"(5, 5)",130,315.23
126,"(5, 5)",130,316.23
127,"(5, 5)",130,314.07
128,"(5, 5)",130,316.45
129,"(5, 5)",130,313.6
130,"(5, 5)",140,343.0
131,"(5, 5)",140,335.23
132,"(5, 5)",140,336.38
133,"(5, 5)",140,333.77
134,"(5, 5)",140,339.75
135,"(5, 5)",140,334.62
136,"(5, 5)",140,338.3
137,"(5, 5)",140,335.75
138,"(5, 5)",140,335.88
139,"(5, 5)",140,336.25
140,"(5, 5)",150,357.88
141,"(5, 5)",150,359.83
142,"(5, 5)",150,361.5
143,"(5, 5)",150,359.08
144,"(5, 5)",150,357.63
145,"(5, 5)",150,359.55
146,"(5, 5)",150,359.23
147,"(5, 5)",150,358.13
148,"(5, 5)",150,359.52
149,"(5, 5)",150,358.35
150,"(5, 5)",160,381.38
151,"(5, 5)",160,380.07
152,"(5, 5)",160,380.5
153,"(5, 5)",160,377.25
154,"(5, 5)",160,380.42
155,"(5, 5)",160,380.53
156,"(5, 5)",160,382.15
157,"(5, 5)",160,382.98
158,"(5, 5)",160,379.5
159,"(5, 5)",160,380.08
160,"(5, 5)",170,402.32
161,"(5, 5)",170,404.08
162,"(5, 5)",170,405.12
163,"(5, 5)",170,403.43
164,"(5, 5)",170,403.28
165,"(5, 5)",170,402.33
166,"(5, 5)",170,401.27
167,"(5, 5)",170,402.93
168,"(5, 5)",170,399.78
169,"(5, 5)",170,400.58
170,"(5, 5)",180,423.1
171,"(5, 5)",180,422.72
172,"(5, 5)",180,423.53
173,"(5, 5)",180,423.6
174,"(5, 5)",180,423.35
175,"(5, 5)",180,423.93
176,"(5, 5)",180,425.23
177,"(5, 5)",180,423.22
178,"(5, 5)",180,424.72
179,"(5, 5)",180,421.03
180,"(5, 5)",190,446.18
181,"(5, 5)",190,444.77
182,"(5, 5)",190,442.13
183,"(5, 5)",190,445.43
184,"(5, 5)",190,444.52
185,"(5, 5)",190,445.97
186,"(5, 5)",190,447.3
187,"(5, 5)",190,448.38
188,"(5, 5)",190,448.47
189,"(5, 5)",190,444.2
190,"(5, 5)",200,465.67
191,"(5, 5)",200,466.38
192,"(5, 5)",200,467.57
193,"(5, 5)",200,464.37
194,"(5, 5)",200,469.12
195,"(5, 5)",200,463.83
196,"(5, 5)",200,469.3
197,"(5, 5)",200,467.95
198,"(5, 5)",200,466.87
199,"(5, 5)",200,466.4
200,"(5, 5)",210,488.08
201,"(5, 5)",210,487.22
202,"(5, 5)",210,486.93
203,"(5, 5)",210,488.73
204,"(5, 5)",210,487.92
205,"(5, 5)",210,489.2
